"_id","group","item","_label","dist"
52483,3453,726,contains,
52484,3520,727,contains,
52485,3588,728,contains,
52486,3538,729,contains,
52487,3521,730,contains,
52488,3521,731,contains,
52489,3521,732,contains,
52490,3588,733,contains,
52491,3521,734,contains,
52492,3521,735,contains,
52493,3521,736,contains,
52494,3521,737,contains,
52495,3521,738,contains,
52496,3520,739,contains,
52497,3656,740,contains,
52498,3521,741,contains,
52499,3520,742,contains,
52500,3520,743,contains,
52501,3573,744,contains,
52502,3630,745,contains,
52503,3529,746,contains,
52504,3529,747,contains,
52505,3529,748,contains,
52506,3529,749,contains,
52507,3529,750,contains,
52508,3529,751,contains,
52509,3529,752,contains,
52510,3529,753,contains,
52511,3529,754,contains,
52512,3529,755,contains,
52513,3529,756,contains,
52514,3529,757,contains,
52515,3529,758,contains,
52516,3529,759,contains,
52517,3529,760,contains,
52518,3529,761,contains,
52519,3529,762,contains,
52520,3529,763,contains,
52521,3529,764,contains,
52522,3529,765,contains,
52523,3529,766,contains,
52524,3529,767,contains,
52525,3529,768,contains,
52526,3529,769,contains,
52527,3529,770,contains,
52528,3529,771,contains,
52529,3529,772,contains,
52530,3529,773,contains,
52531,3529,774,contains,
52532,3529,775,contains,
52533,3529,776,contains,
52534,3529,777,contains,
52535,3529,778,contains,
52536,3594,779,contains,
52537,3529,780,contains,
52538,3529,781,contains,
52539,3464,782,contains,
52540,3498,783,contains,
52541,3441,784,contains,
52542,3524,785,contains,
52543,3579,786,contains,
52544,3590,787,contains,
52545,3590,788,contains,
52546,3473,789,contains,
52547,3473,790,contains,
52548,3498,791,contains,
52549,3527,792,contains,
52550,3527,793,contains,
52551,3527,794,contains,
52552,3474,795,contains,
52553,3638,796,contains,
52554,3484,797,contains,
52555,3484,798,contains,
52556,3484,799,contains,
52557,3484,800,contains,
52558,3590,801,contains,
52559,3569,802,contains,
52560,3619,803,contains,
52561,3506,804,contains,
52562,3433,805,contains,
52563,3433,806,contains,
52564,3639,807,contains,
52565,3567,808,contains,
52566,3563,809,contains,
52567,3597,810,contains,
52568,3631,811,contains,
52569,3597,812,contains,
52570,3597,813,contains,
52571,3657,814,contains,
52572,3620,815,contains,
52573,3620,816,contains,
52574,3481,817,contains,
52575,3487,818,contains,
52576,3625,819,contains,
52577,3623,820,contains,
52578,3625,821,contains,
52579,3632,822,contains,
52580,3523,823,contains,
52581,3548,824,contains,
52582,3422,825,contains,
52583,3617,826,contains,
52584,3457,827,contains,
52585,3424,828,contains,
52586,3424,829,contains,
52587,3424,830,contains,
52588,3443,831,contains,
52589,3454,832,contains,
52590,3470,833,contains,
52591,3575,834,contains,
52592,3638,835,contains,
52593,3638,836,contains,
52594,3633,837,contains,
52595,3467,838,contains,
52596,3467,839,contains,
52597,3461,840,contains,
52598,3457,841,contains,
52599,3595,842,contains,
52600,3549,843,contains,
52601,3501,844,contains,
52602,3462,845,contains,
52603,3479,846,contains,
52604,3552,847,contains,
52605,3542,848,contains,
52606,3566,849,contains,
52607,3557,850,contains,
52608,3512,851,contains,
52609,3458,852,contains,
52610,3619,853,contains,
52611,3619,854,contains,
52612,3498,855,contains,
52613,3498,856,contains,
52614,3498,857,contains,
52615,3498,858,contains,
52616,3477,859,contains,
52617,3431,860,contains,
52618,3597,861,contains,
52619,3649,862,contains,
52620,3459,863,contains,
52621,3647,864,contains,
52622,3647,865,contains,
